metric,value
jac,0.07777318511063494
dice,0.14432198942238744
tpfv,0.8095103311174916
prec,0.07922306000410395
vs,0.17828307295235213
jac_mod_1_8,0.23161833185834646
jac_mod_1_4,0.13958164550030178
jac_mod_3_8,0.09988928355564014
jac_mod_5_8,0.06367512328677773
jac_mod_3_4,0.053903885225985805
jac_mod_7_8,0.046732560666390845
num_dif,4.0
adj_rand,0.5470103307549664
nm1,0.45607490355742086
nm2,0.795674963819484
nm3,0.5479767304877812
hd,426.5219806762601
avvs,276.570685363745
bld,0.0
jac_bnd,0.12211379193236631
dice_bnd,0.21764956960751183
tpfv_bnd,0.7563658837604224
prec_bnd,0.12711371473547808
vs_bnd,0.2877569894066323
avg_dist_cnts,4.223827468788827
l1_edt,36.070996584506275
l2_edt,45.926014535376545
hd_areas,370.8760441897677
avvs_areas,262.2536068232128
bld_areas,6.792632665303199
nm1_areas,0.5628984373816756
nm2_areas,0.853349870049846
nm3_areas,0.6289295118473258
avg_dist_cnts_areas,89.10484279305894
l1_edt_areas,33.66333911675604
l2_edt_areas,42.934603148331554
jac_bnd_areas,0.11555890437018645
dice_bnd_areas,0.19877801548958712
tpfv_bnd_areas,0.12334712338830106
prec_bnd_areas,0.5596594661847775
vs_bnd_areas,0.4457540367225989
jac_areas,0.07036283221811393
dice_areas,0.12704675693398862
tpfv_areas,0.07221650316305857
prec_areas,0.6178062880136849
vs_areas,0.2894053906073175
jac_mod_1_8_areas,0.04313429000186801
jac_mod_1_4_areas,0.04952218943365261
jac_mod_3_8_areas,0.05813103977757616
jac_mod_5_8_areas,0.0891141197728224
jac_mod_3_4_areas,0.12149131493639867
jac_mod_7_8_areas,0.19082709037856274
adj_rand_areas,0.16134447839492627
hd_av_areas,375.7215357536288
avvs_av_areas,275.13653944112343
bld_av_areas,110.65746662374144
nm1_av_areas,0.7220316946894133
nm2_av_areas,0.9937474910232348
nm3_av_areas,0.9209271919256358
avg_dist_cnts_av_areas,88.16559079979109
l1_edt_av_areas,25.72770270572379
l2_edt_av_areas,32.03794730402622
jac_bnd_av_areas,0.04298412699797026
dice_bnd_av_areas,0.07748012952149072
tpfv_bnd_av_areas,0.2011097246079801
prec_bnd_av_areas,0.8173913033324332
vs_bnd_av_areas,0.2789307588079758
jac_av_areas,0.02159880174487832
dice_av_areas,0.039008156715855204
tpfv_av_areas,0.2221021484271369
prec_av_areas,0.99999980000004
vs_av_areas,0.15140797882170406
jac_mod_1_8_av_areas,0.013432495635165648
jac_mod_1_4_av_areas,0.015275118619289981
jac_mod_3_8_av_areas,0.017872995463963252
jac_mod_5_8_av_areas,0.027327837637662
jac_mod_3_4_av_areas,0.03723125926691986
jac_mod_7_8_av_areas,0.05844580248089944
adj_rand_av_areas,0.5002734353584242
